Date,Open,High,Low,Close,Volume,Adj Close
2015-04-17,2102.58008,2102.58008,2072.37012,2081.17993,3627600000,2081.17993
2015-04-16,2105.95996,2111.30005,2100.02002,2104.98999,3434120000,2104.98999
2015-04-15,2097.82007,2111.90991,2097.82007,2106.62988,4013760000,2106.62988
2015-04-14,2092.28003,2098.62012,2083.23999,2095.84009,3301270000,2095.84009
2015-04-13,2102.03003,2107.6499,2092.33008,2092.42993,2908420000,2092.42993
2015-04-10,2091.51001,2102.61011,2091.51001,2102.06006,536200000,2102.06006
2015-04-09,2081.29004,2093.31006,2074.29004,2091.17993,3172360000,2091.17993
2015-04-08,2076.93994,2086.68994,2073.30005,2081.8999,3265330000,2081.8999
2015-04-07,2080.79004,2089.81006,2076.1001,2076.33008,3065510000,2076.33008
2015-04-06,2064.87012,2086.98999,2056.52002,2080.62012,3302970000,2080.62012
2015-04-02,2060.03003,2072.16992,2057.32007,2066.95996,3095960000,2066.95996
2015-04-01,2067.62988,2067.62988,2048.37988,2059.68994,3543270000,2059.68994
2015-03-31,2084.05005,2084.05005,2067.04004,2067.88989,3376550000,2067.88989
2015-03-30,2064.11011,2088.96997,2064.11011,2086.23999,2917690000,2086.23999
2015-03-27,2055.78003,2062.83008,2052.95996,2061.02002,3008550000,2061.02002
2015-03-26,2059.93994,2067.1499,2045.50,2056.1499,3510670000,2056.1499
2015-03-25,2093.1001,2097.42993,2061.05005,2061.05005,3521140000,2061.05005
2015-03-24,2103.93994,2107.62988,2091.50,2091.50,3189820000,2091.50
2015-03-23,2107.98999,2114.86011,2104.41992,2104.41992,3267960000,2104.41992
2015-03-20,2090.32007,2113.91992,2090.32007,2108.1001,5554120000,2108.1001
2015-03-19,2098.68994,2098.68994,2085.56006,2089.27002,3305220000,2089.27002
2015-03-18,2072.84009,2106.8501,2061.22998,2099.50,4128210000,2099.50
2015-03-17,2080.59009,2080.59009,2065.08008,2074.28003,3221840000,2074.28003
2015-03-16,2055.3501,2081.40991,2055.3501,2081.18994,3295600000,2081.18994
2015-03-13,2064.56006,2064.56006,2041.17004,2053.3999,3498560000,2053.3999
2015-03-12,2041.09998,2066.40991,2041.09998,2065.94995,3405860000,2065.94995
2015-03-11,2044.68994,2050.08008,2039.68994,2040.23999,3406570000,2040.23999
2015-03-10,2076.13989,2076.13989,2044.16003,2044.16003,3668900000,2044.16003
2015-03-09,2072.25,2083.48999,2072.20996,2079.42993,3349090000,2079.42993
2015-03-06,2100.90991,2100.90991,2067.27002,2071.26001,3853570000,2071.26001
2015-03-05,2098.54004,2104.25,2095.21997,2101.04004,3103030000,2101.04004
2015-03-04,2107.71997,2107.71997,2094.48999,2098.53003,3421110000,2098.53003
2015-03-03,2115.76001,2115.76001,2098.26001,2107.78003,3262300000,2107.78003
2015-03-02,2105.22998,2117.52002,2104.50,2117.38989,3409490000,2117.38989
